Version:,1,,Date:,9/3/2015
Measure,Time,MSPerQuarter,MSPerMeasure,Frames
1,4,480,1920,0
2,4,480,1920,1920
3,4,480,1920,3840
4,4,480,1920,5760
5,4,480,1920,7680
6,4,480,1920,9600
7,4,480,1920,11520
8,4,480,1920,13440
9,4,480,1920,15360
10,4,480,1920,17280
11,4,480,1920,19200
12,4,480,1920,21120
13,4,480,1920,23040
14,4,480,1920,24960
15,4,480,1920,26880
16,4,480,1920,28800
17,4,480,1920,30720
18,4,480,1920,32640
19,4,480,1920,34560
20,4,480,1920,36480
21,4,480,1920,38400
22,4,480,1920,40320
23,4,480,1920,42240
24,4,480,1920,44160
25,3,480,1440,45600
26,3,480,1440,47040
27,3,480,1440,48480
28,3,480,1440,49920
29,3,480,1440,51360
30,3,480,1440,52800
31,3,480,1440,54240
32,3,480,1440,55680
33,3,480,1440,57120
34,3,480,1440,58560
35,3,480,1440,60000
36,3,480,1440,61440
37,3,480,1440,62880
38,3,480,1440,64320
39,3,480,1440,65760
40,3,480,1440,67200
41,3,480,1440,68640
42,3,480,1440,70080
43,3,480,1440,71520
44,4,480,1920,73440
45,4,480,1920,75360
46,4,480,1920,77280
47,4,480,1920,79200
48,4,480,1920,81120
49,4,480,1920,83040
50,4,480,1920,84960
51,4,480,1920,86880
52,4,480,1920,88800
53,4,480,1920,90720
54,4,480,1920,92640
55,4,480,1920,94560
56,4,480,1920,96480
57,4,480,1920,98400
58,4,480,1920,100320
59,4,480,1920,102240
60,4,480,1920,104160
61,4,480,1920,106080
62,4,480,1920,108000
63,4,480,1920,109920
64,4,480,1920,111840
65,4,480,1920,113760
66,3,480,1440,115200
67,3,480,1440,116640
68,3,480,1440,118080
69,3,480,1440,119520
70,3,480,1440,120960
71,3,480,1440,122400
72,3,480,1440,123840
73,3,480,1440,125280
74,3,480,1440,126720
75,3,480,1440,128160
76,3,480,1440,129600
77,3,480,1440,131040
78,3,480,1440,132480
79,3,480,1440,133920
80,3,480,1440,135360
81,3,480,1440,136800
82,3,480,1440,138240
83,3,480,1440,139680
84,4,480,1920,141600
85,4,480,1920,143520
86,4,480,1920,145440
87,4,480,1920,147360
88,4,480,1920,149280
89,4,480,1920,151200
90,4,480,1920,153120
91,4,480,1920,155040
92,4,480,1920,156960
93,4,480,1920,158880
94,4,480,1920,160800
95,4,480,1920,162720
96,4,480,1920,164640
97,4,480,1920,166560
98,4,480,1920,168480
99,4,480,1920,170400
100,6,480,2880,173280
101,6,480,2880,176160
102,6,480,2880,179040
103,6,480,2880,181920
104,6,480,2880,184800
105,6,480,2880,187680
106,6,480,2880,190560
107,6,480,2880,193440
108,6,480,2880,196320
109,6,480,2880,199200
110,6,480,2880,202080
111,6,480,2880,204960
112,6,480,2880,207840
113,6,480,2880,210720
114,6,480,2880,213600
115,6,480,2880,216480
116,6,480,2880,219360
117,6,480,2880,222240
118,6,480,2880,225120
119,6,480,2880,228000
120,6,480,2880,230880
121,6,480,2880,233760
122,6,480,2880,236640
123,6,480,2880,239520
124,6,480,2880,242400
125,6,480,2880,245280
126,6,480,2880,248160
127,6,480,2880,251040
128,6,480,2880,253920
129,6,480,2880,256800
130,6,480,2880,259680
131,6,480,2880,262560
132,6,480,2880,265440
133,6,480,2880,268320
134,6,480,2880,271200
135,6,480,2880,274080
136,6,480,2880,276960
137,6,480,2880,279840
138,6,480,2880,282720
139,6,480,2880,285600
140,6,480,2880,288480
141,6,480,2880,291360
142,6,480,2880,294240
143,6,480,2880,297120
144,6,480,2880,300000
145,6,480,2880,302880
146,6,480,2880,305760
147,6,480,2880,308640
148,6,480,2880,311520
149,6,480,2880,314400
150,6,480,2880,317280
151,6,480,2880,320160
152,6,480,2880,323040
153,6,480,2880,325920
154,6,480,2880,328800
155,6,480,2880,331680
156,6,480,2880,334560
157,6,480,2880,337440
158,6,480,2880,340320
159,6,480,2880,343200
160,6,480,2880,346080
